spin index,aktuální kredit,bet,vyhra,nasobok
 371,83500,100,0,0
 372,83400,100,0,0
 373,83300,100,0,0
 374,84200,100,1000,10
 375,84100,100,0,0
 376,84000,100,0,0
 377,88900,100,5000,50
 378,88900,100,100,1
 379,88800,100,0,0
 380,88800,100,100,1
 381,88800,100,100,1
 382,88700,100,0,0
 383,88700,100,100,1
 384,88600,100,0,0
 385,88500,100,0,0
 386,88400,100,0,0
 387,88300,100,0,0
 388,88200,100,0,0
 389,88100,100,0,0
 390,88000,100,0,0
 391,87900,100,0,0
 392,87800,100,0,0
 393,87700,100,0,0
 394,87600,100,0,0
 395,87500,100,0,0
 396,87400,100,0,0
 397,87300,100,0,0
 398,87300,100,100,1
 399,87200,100,0,0
 400,87100,100,0,0
 401,87000,100,0,0
 402,86900,100,0,0
 403,86800,100,0,0
 404,86700,100,0,0
 405,86600,100,0,0
 406,86500,100,0,0
 407,86400,100,0,0
 408,86300,100,0,0
 409,86200,100,0,0
 410,86100,100,0,0
 411,86000,100,0,0
 412,85900,100,0,0
 413,85800,100,0,0
 414,86700,100,1000,10
 415,86700,100,100,1
 416,86600,100,0,0
 417,86500,100,0,0
 418,86400,100,0,0
 419,86300,100,0,0
 420,88700,100,2500,25
 421,88600,100,0,0
 422,88500,100,0,0
 423,93400,100,5000,50
 424,93300,100,0,0
 425,93200,100,0,0
 426,93100,100,0,0
 427,93100,100,100,1
 428,93000,100,0,0
 429,92900,100,0,0
 430,92800,100,0,0
 431,92700,100,0,0
 432,95100,100,2500,25
 433,95000,100,0,0
 434,94900,100,0,0
 435,94800,100,0,0
 436,99700,100,5000,50
 437,99600,100,0,0
 438,99500,100,0,0
 439,101900,100,2500,25
 440,101800,100,0,0
 441,101700,100,0,0
 442,101600,100,0,0
 443,101500,100,0,0
 444,101400,100,0,0
 445,101300,100,0,0
 446,101200,100,0,0
 447,101100,100,0,0
 448,103500,100,2500,25
 449,103400,100,0,0
 450,103300,100,0,0
 451,103200,100,0,0
 452,103100,100,0,0
 453,103100,100,100,1
 454,103000,100,0,0
 455,102900,100,0,0
 456,102900,100,100,1
 457,102900,100,100,1
 458,102800,100,0,0
 459,102700,100,0,0
 460,102600,100,0,0
 461,102500,100,0,0
 462,102400,100,0,0
 463,103300,100,1000,10
 464,103200,100,0,0
 465,103200,100,100,1
 466,113100,100,10000,100
 467,113000,100,0,0
 468,112900,100,0,0
 469,115300,100,2500,25
 470,125200,100,10000,100
 471,125100,100,0,0
 472,125000,100,0,0
 473,134900,100,10000,100
 474,134800,100,0,0
 475,135700,100,1000,10
 476,135600,100,0,0
 477,135500,100,0,0
 478,135400,100,0,0
 479,135300,100,0,0
 480,135200,100,0,0
 481,135200,100,100,1
 482,135100,100,0,0
 483,135000,100,0,0
 484,134900,100,0,0
 485,134800,100,0,0
 486,134700,100,0,0
 487,134700,100,100,1
 488,134700,100,100,1
 489,135600,100,1000,10
 490,135500,100,0,0
 491,135400,100,0,0
 492,135300,100,0,0
 493,135200,100,0,0
 494,135100,100,0,0
 495,137500,100,2500,25
 496,137400,100,0,0
 497,137300,100,0,0
 498,137200,100,0,0
 499,137100,100,0,0
 500,137000,100,0,0
 501,136900,100,0,0
 502,136900,100,100,1
 503,136800,100,0,0
 504,136700,100,0,0
 505,136600,100,0,0
 506,136500,100,0,0
 507,136400,100,0,0
 508,136300,100,0,0
 509,136200,100,0,0
 510,136100,100,0,0
 511,136000,100,0,0
 512,135900,100,0,0
 513,135800,100,0,0
 514,135700,100,0,0
 515,135600,100,0,0
 516,135500,100,0,0
 517,135400,100,0,0
 518,135300,100,0,0
 519,135200,100,0,0
 520,135100,100,0,0
 521,135100,100,100,1
 522,135000,100,0,0
 523,134900,100,0,0
 524,134800,100,0,0
 525,134700,100,0,0
 526,134600,100,0,0
 527,134500,100,0,0
 528,134400,100,0,0
 529,134300,100,0,0
 530,139200,100,5000,50
 531,139100,100,0,0
 532,144000,100,5000,50
 533,143900,100,0,0
 534,143800,100,0,0
 535,143700,100,0,0
 536,143600,100,0,0
 537,143500,100,0,0
 538,143400,100,0,0
 539,143300,100,0,0
 540,143200,100,0,0
 541,144100,100,1000,10
 542,144000,100,0,0
 543,143900,100,0,0
 544,143800,100,0,0
 545,143700,100,0,0
 546,143600,100,0,0
 547,143500,100,0,0
 548,143400,100,0,0
 549,143300,100,0,0
 550,144200,100,1000,10
 551,144100,100,0,0
 552,144000,100,0,0
 553,143900,100,0,0
 554,143800,100,0,0
 555,143700,100,0,0
 556,143600,100,0,0
 557,143500,100,0,0
 558,143500,100,100,1
 559,143400,100,0,0
 560,143300,100,0,0
 561,143200,100,0,0
 562,143100,100,0,0
 563,143100,100,100,1
 564,143000,100,0,0
 565,142900,100,0,0
 566,142900,100,100,1
 567,142800,100,0,0
 568,142800,100,100,1
 569,147700,100,5000,50
 570,147600,100,0,0
 571,147500,100,0,0
 572,147400,100,0,0
 573,152300,100,5000,50
 574,157200,100,5000,50
 575,158100,100,1000,10
 576,158000,100,0,0
 577,157900,100,0,0
 578,157800,100,0,0
 579,157700,100,0,0
 580,157600,100,0,0
 581,157500,100,0,0
 582,157400,100,0,0
 583,167300,100,10000,100
 584,167200,100,0,0
 585,167100,100,0,0
 586,169500,100,2500,25
 587,169400,100,0,0
 588,169300,100,0,0
 589,169200,100,0,0
 590,169100,100,0,0
 591,169000,100,0,0
 592,168900,100,0,0
 593,168800,100,0,0
 594,168700,100,0,0
 595,168600,100,0,0
 596,171000,100,2500,25
 597,170900,100,0,0
 598,170900,100,100,1
 599,170800,100,0,0
 600,170700,100,0,0
 601,175600,100,5000,50
 602,175500,100,0,0
 603,175400,100,0,0
 604,175400,100,100,1
 605,175300,100,0,0
 606,175200,100,0,0
 607,175100,100,0,0
 608,175000,100,0,0
 609,174900,100,0,0
 610,175800,100,1000,10
 611,175700,100,0,0
 612,175600,100,0,0
 613,175500,100,0,0
 614,175400,100,0,0
 615,175300,100,0,0
 616,175200,100,0,0
 617,175100,100,0,0
 618,175000,100,0,0
 619,174900,100,0,0
 620,177300,100,2500,25
 621,178200,100,1000,10
 622,178100,100,0,0
 623,178000,100,0,0
 624,177900,100,0,0
 625,177800,100,0,0
 626,178700,100,1000,10
 627,178700,100,100,1
 628,178600,100,0,0
 629,178500,100,0,0
 630,179400,100,1000,10
 631,179400,100,100,1
 632,179400,100,100,1
 633,179300,100,0,0
 634,179200,100,0,0
 635,179100,100,0,0
 636,179000,100,0,0
 637,178900,100,0,0
 638,178800,100,0,0
 639,178700,100,0,0
 640,178600,100,0,0
 641,178500,100,0,0
 642,178400,100,0,0
 643,178300,100,0,0
 644,178200,100,0,0
 645,178100,100,0,0
 646,178000,100,0,0
 647,177900,100,0,0
 648,177900,100,100,1
 649,177900,100,100,1
 650,177800,100,0,0
 651,177700,100,0,0
 652,177600,100,0,0
 653,177500,100,0,0
 654,177400,100,0,0
 655,182300,100,5000,50
 656,182200,100,0,0
 657,182100,100,0,0
 658,183000,100,1000,10
 659,192900,100,10000,100
 660,192800,100,0,0
 661,192700,100,0,0
 662,192700,100,100,1
 663,192600,100,0,0
 664,192500,100,0,0
 665,197400,100,5000,50
 666,207300,100,10000,100
 667,207200,100,0,0
 668,207100,100,0,0
 669,207000,100,0,0
 670,207000,100,100,1
 671,206900,100,0,0
 672,206800,100,0,0
 673,206700,100,0,0
 674,206600,100,0,0
 675,206500,100,0,0
 676,207400,100,1000,10
 677,207300,100,0,0
 678,207200,100,0,0
 679,207100,100,0,0
 680,207000,100,0,0
 681,206900,100,0,0
 682,211800,100,5000,50
 683,211700,100,0,0
 684,211600,100,0,0
 685,211600,100,100,1
 686,211500,100,0,0
 687,211400,100,0,0
 688,211300,100,0,0
 689,211200,100,0,0
 690,211100,100,0,0
 691,211000,100,0,0
 692,210900,100,0,0
 693,210800,100,0,0
 694,210700,100,0,0
 695,210600,100,0,0
 696,210500,100,0,0
 697,212900,100,2500,25
 698,212800,100,0,0
 699,212700,100,0,0
 700,212600,100,0,0
 701,212500,100,0,0
 702,212400,100,0,0
 703,212300,100,0,0
 704,212200,100,0,0
 705,212100,100,0,0
 706,212000,100,0,0
 707,211900,100,0,0
 708,211800,100,0,0
 709,211700,100,0,0
 710,211600,100,0,0
 711,211500,100,0,0
 712,211400,100,0,0
 713,211300,100,0,0
 714,212200,100,1000,10
 715,212100,100,0,0
 716,212000,100,0,0
 717,211900,100,0,0
 718,211800,100,0,0
 719,211700,100,0,0
 720,211600,100,0,0
 721,211500,100,0,0
 722,211400,100,0,0
 723,211300,100,0,0
 724,211300,100,100,1
 725,211200,100,0,0
 726,211100,100,0,0
 727,211000,100,0,0
 728,213400,100,2500,25
 729,213300,100,0,0
 730,213200,100,0,0
 731,213100,100,0,0
 732,213000,100,0,0
 733,212900,100,0,0
 734,212800,100,0,0
 735,212800,100,100,1
 736,212700,100,0,0
 737,212600,100,0,0
 738,212500,100,0,0
 739,212400,100,0,0
 740,212400,100,100,1
 741,212300,100,0,0
 742,212200,100,0,0
 743,212100,100,0,0
 744,212000,100,0,0
 745,211900,100,0,0
 746,211800,100,0,0
 747,211700,100,0,0
 748,211600,100,0,0
 749,211500,100,0,0
 750,211400,100,0,0
 751,211300,100,0,0
 752,211200,100,0,0
 753,211200,100,100,1
 754,211100,100,0,0
 755,216000,100,5000,50
 756,215900,100,0,0
 757,216800,100,1000,10
 758,216700,100,0,0
 759,216600,100,0,0
 760,216500,100,0,0
 761,216400,100,0,0
 762,216400,100,100,1
 763,216300,100,0,0
 764,216200,100,0,0
 765,216100,100,0,0
 766,216000,100,0,0
 767,215900,100,0,0
 768,215800,100,0,0
 769,215700,100,0,0
 770,215600,100,0,0
 771,215500,100,0,0
 772,216400,100,1000,10
 773,216400,100,100,1
 774,216300,100,0,0
 775,216300,100,100,1
 776,216200,100,0,0
 777,216100,100,0,0
 778,216000,100,0,0
 779,215900,100,0,0
 780,215800,100,0,0
 781,215700,100,0,0
 782,215600,100,0,0
 783,215500,100,0,0
 784,215500,100,100,1
 785,215400,100,0,0
 786,216300,100,1000,10
